,county,fips,state,price,square,postcode,ppa 95 percentile,price per acre
605,Rhea County,47143,Tennessee,1239900,94.2,74642,1228924.7279999997,13162.42
606,Anderson County,48001,Texas,1110900,86.7,227443,1950000.0,12813.15
607,Rogers County,40131,Oklahoma,1036400,82.0,148036,1166135.8900000001,12639.02
608,Mohave County,04015,Arizona,55729405,4477.01,15384353,121143579.97999993,12447.91
609,Robertson County,48395,Texas,599900,50.0,77859,650000.0,11998.0
610,Lawrence County,28077,Mississippi,372000,33.0,39654,875344.973,11272.73
611,Fayette County,01057,Alabama,549900,50.0,35555,632784.5464999998,10998.0
612,Barbour County,01005,Alabama,620000,57.0,72044,1265569.0929999996,10877.19
613,Swisher County,48437,Texas,299000,28.6,79052,650000.0,10454.55
614,Boone County,29019,Missouri,327500,32.0,65202,427711.9184999996,10234.38
615,Box Elder County,49003,Utah,1720500,172.0,84307,650512.9659999999,10002.91
616,Wilkes County,37193,North Carolina,253900,25.6,57356,1066666.66,9917.97
617,Rutherford County,37161,North Carolina,2350000,237.0,56786,1066666.66,9915.61
618,Dewey County,40043,Oklahoma,204250,21.7,147426,1166135.8900000001,9412.44
619,Calhoun County,48057,Texas,1554300,172.0,77979,650000.0,9036.63
620,Terrell County,48443,Texas,360000,40.0,79848,650000.0,9000.0
621,Potter County,48375,Texas,998000,114.0,158222,1300000.0,8754.39
622,Scotland County,37165,North Carolina,284750,33.5,28352,533333.33,8500.0
623,Deaf Smith County,48117,Texas,169000,20.0,79045,650000.0,8450.0
624,Cochise County,04003,Arizona,4188390,548.53,684942,5444655.279999997,7635.66
625,Coffee County,01031,Alabama,794850,106.23,72783,1265569.0929999996,7482.35
626,Putnam County,13237,Georgia,160000,22.0,31024,491831.86399999977,7272.73
627,Lawrence County,05075,Arkansas,50000,7.0,72415,463442.3084999996,7142.86
628,Newton County,05101,Arkansas,284900,40.0,72624,463442.3084999996,7122.5
629,Terrell County,13273,Georgia,69900,11.4,39842,491831.86399999977,6131.58
630,Duchesne County,49013,Utah,55000,10.0,84052,650512.9659999999,5500.0
631,Rio Blanco County,08103,Colorado,200000,44.5,81641,1280555.5559999996,4494.38
632,Johnson County,13167,Georgia,185000,42.0,31096,491831.86399999977,4404.76
633,Edgecombe County,37065,North Carolina,647500,185.0,27801,533333.33,3500.0
634,Millard County,49027,Utah,330900,530.0,169259,1301025.9319999998,624.34
